SCHOOLYEAR_SP	NCTESID	DISTRICT	BEH01	BEH02	BEH03	BUL01	BUL02	CAP01	CAP02	CAP03	CAP04	CAR01	CAR02	CAR03	CHA01	CHA02	CHA03	CHA04	CLA01	CLA02	CLA03	CLA04	CNF01	CNF02	CNF03	CNF04	CNF05	CSL01	CSL02	CSL03	CTL01	CTL02	CTL03	EFF01	EFF02	EFF03	EFF04	EFF05	EFF06	EXH01	EXH02	EXH03	HAP01	HAP02	LOM01	LOM02	LOM03	MAT01	MAT02	MTL01	NVE01	NVE02	NVE03	NVE04	OIN01	PAE01	PAE02	PAE03	PAE04	PAE05	PER01	PER02	PER03	SES01	SES02	SES03_2011	SES03_2012	SES04_2011_2012	SES04_2013	SES05_2011	SES05_2012	SES05_2013	SES06	SES07	SES08	SES09	SES10	SES11	SES12	TSP01
2011	110050	11	5	1	1	999	999	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	3	4	5	5	2	999	999	999	1	1	3	999	999	999	999	999	4	1	999	999	999	999	999	999	999	999	999	999	999	4	5	2	3	2	7	999	4	999	1	999	999	999	999	999	999	999	999	999	4
2011	110051	11	5	1	1	999	999	5	3	5	5	5	5	4	5	5	5	5	5	4	4	5	5	5	5	5	5	4	5	5	3	4	998	4	5	1	999	999	999	1	1	5	999	999	999	999	999	1	1	999	999	999	999	999	999	999	999	999	999	999	5	5	1	3	2	1	999	2	999	1	999	999	999	999	999	999	999	999	999	5
2011	110052	11	4	4	1	999	999	5	3	5	5	5	5	998	2	5	5	1	4	4	3	3	5	2	3	3	2	5	2	5	3	3	4	5	5	1	999	999	999	1	1	1	999	999	999	999	999	4	4	999	999	999	999	999	999	999	999	999	999	999	1	2	1	2	3	7	999	1	999	2	999	999	999	999	999	999	999	999	999	4
2011	110053	11	5	1	1	999	999	5	3	4	5	5	5	4	5	5	5	5	4	5	4	4	5	5	5	5	5	3	3	4	4	2	2	5	5	1	999	999	999	1	1	2	999	999	999	999	999	2	3	999	999	999	999	999	999	999	999	999	999	999	5	4	1	2	3	5	999	4	999	1	999	999	999	999	999	999	999	999	999	5
2011	110054	11	4	3	1	999	999	4	4	5	5	5	5	5	5	5	5	4	5	4	2	3	5	2	5	3	2	1	5	3	3	4	3	4	4	1	999	999	999	1	1	4	999	999	999	999	999	3	3	999	999	999	999	999	999	999	999	999	999	999	4	4	3	3	1	1	999	4	999	1	999	999	999	999	999	999	999	999	999	2
2011	110055	11	5	1	5	999	999	5	4	5	5	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	2	5	5	4	3	4	5	5	4	999	999	999	5	4	5	999	999	999	999	999	5	4	999	999	999	999	999	999	999	999	999	999	999	5	5	1	3	3	3	999	1	999	1	999	999	999	999	999	999	999	999	999	5
2011	110056	11	4	2	2	999	999	4	3	5	2	4	5	4	5	5	5	3	4	4	4	4	3	5	4	4	4	4	4	4	4	3	2	4	4	1	999	999	999	1	1	2	999	999	999	999	999	2	2	999	999	999	999	999	999	999	999	999	999	999	3	4	2	3	2	1	999	3	999	2	999	999	999	999	999	999	999	999	999	4
2011	110057	11	4	4	2	999	999	5	5	5	4	5	5	4	5	998	4	4	4	3	4	5	5	4	5	5	5	5	5	5	4	2	5	5	5	4	999	999	999	1	1	2	999	999	999	999	999	2	5	999	999	999	999	999	999	999	999	999	999	999	4	4	4	3	2	1	999	4	999	1	999	999	999	999	999	999	999	999	999	3
2012	110057	11	3	5	1	4	3	3	4	4	4	4	5	3	3	4	4	1	5	5	4	3	4	4	4	3	3	3	4	3	3	4	2	3	3	999	2	4	4	1	1	3	3	3	4	4	4	3	4	999	999	999	999	999	999	999	999	999	999	999	3	3	3	2	999	999	3	4	999	999	2	999	1	0	0	0	0	0	0	3
2011	110059	11	4	1	1	999	999	4	4	5	5	5	5	4	5	5	5	4	5	5	5	4	5	5	5	5	5	3	5	3	4	1	5	5	3	1	999	999	999	5	1	5	999	999	999	999	999	2	3	999	999	999	999	999	999	999	999	999	999	999	5	4	1	3	1	1	999	4	999	1	999	999	999	999	999	999	999	999	999	5
2012	110059	11	3	2	1	1	1	5	3	3	3	4	5	5	5	5	5	4	4	5	4	4	5	5	4	5	5	5	4	4	3	1	3	4	3	999	4	3	4	5	1	4	4	2	3	3	4	2	2	999	999	999	999	999	999	999	999	999	999	999	4	4	3	3	999	999	4	3	999	999	4	999	1	0	0	0	0	0	0	4
2011	110060	11	4	3	2	999	999	3	1	4	3	3	5	4	5	4	3	4	5	4	4	4	4	3	3	3	4	4	3	3	5	3	3	5	3	1	999	999	999	1	1	5	999	999	999	999	999	5	1	999	999	999	999	999	999	999	999	999	999	999	3	4	2	2	1	1	999	4	999	1	999	999	999	999	999	999	999	999	999	5
2011	110061	11	5	2	1	999	999	4	5	5	5	5	5	4	4	4	5	5	5	5	4	4	2	3	5	5	5	5	5	5	4	4	4	5	5	1	999	999	999	2	2	4	999	999	999	999	999	3	1	999	999	999	999	999	999	999	999	999	999	999	5	4	1	3	3	7	999	4	999	2	999	999	999	999	999	999	999	999	999	5
2011	110062	11	3	5	3	999	999	4	1	2	1	5	3	1	4	5	5	3	5	5	3	5	5	1	4	4	1	1	2	3	4	2	2	4	4	1	999	999	999	1	4	1	999	999	999	999	999	2	3	999	999	999	999	999	999	999	999	999	999	999	3	4	2	2	2	2	999	1	999	3	999	999	999	999	999	999	999	999	999	4
2011	110063	11	5	4	2	999	999	1	1	4	4	3	2	4	5	5	4	2	4	2	3	3	3	4	5	5	2	4	3	4	2	5	998	1	3	1	999	999	999	3	1	2	999	999	999	999	999	4	1	999	999	999	999	999	999	999	999	999	999	999	4	1	1	3	2	4	999	1	999	2	999	999	999	999	999	999	999	999	999	3
2011	110064	11	4	1	1	999	999	5	5	5	4	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	3	3	5	4	1	4	5	5	1	999	999	999	1	1	5	999	999	999	999	999	2	2	999	999	999	999	999	999	999	999	999	999	999	5	5	1	2	3	4	999	2	999	1	999	999	999	999	999	999	999	999	999	5
2011	110065	11	4	3	3	999	999	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	3	2	3	5	5	1	999	999	999	1	1	998	999	999	999	999	999	3	4	999	999	999	999	999	999	999	999	999	999	999	3	4	3	3	3	2	999	3	999	2	999	999	999	999	999	999	999	999	999	5
2011	110066	11	4	1	1	999	999	3	2	3	3	4	5	1	3	3	5	4	4	4	3	3	5	3	4	4	2	2	3	3	3	3	3	4	3	1	999	999	999	1	1	1	999	999	999	999	999	2	3	999	999	999	999	999	999	999	999	999	999	999	4	3	2	3	2	2	999	2	999	2	999	999	999	999	999	999	999	999	999	4
2011	110068	11	5	1	1	999	999	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	3	5	5	4	1	5	5	5	1	999	999	999	1	1	5	999	999	999	999	999	3	2	999	999	999	999	999	999	999	999	999	999	999	5	5	1	3	2	1	999	4	999	2	999	999	999	999	999	999	999	999	999	5
2012	110068	11	3	3	2	3	1	5	5	5	5	5	5	5	5	5	5	1	3	5	5	5	5	5	5	5	4	5	5	5	4	998	4	3	5	999	5	3	4	1	1	2	5	1	5	5	5	3	1	999	999	999	999	999	999	999	999	999	999	999	2	5	2	3	999	999	10	2	999	999	2	999	1	1	0	0	0	1	0	5
2012	110070	11	3	4	4	5	5	3	3	3	4	5	5	4	3	5	5	4	4	4	4	3	3	4	3	4	3	5	3	5	4	5	5	5	5	999	4	3	5	2	2	5	2	3	3	3	4	2	3	999	999	999	999	999	999	999	999	999	999	999	998	3	4	3	999	999	4	3	999	999	1	999	1	0	0	0	1	0	0	5
2011	110071	11	4	4	4	999	999	5	4	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4	5	5	4	4	4	5	4	4	999	999	999	1	998	4	999	999	999	999	999	4	4	999	999	999	999	999	999	999	999	999	999	999	5	5	4	3	2	4	999	4	999	2	999	999	999	999	999	999	999	999	999	4
2011	110072	11	5	1	1	999	999	4	2	3	5	5	3	3	4	4	5	3	3	4	3	3	3	3	5	5	5	3	4	4	4	2	1	5	3	1	999	999	999	1	1	5	999	999	999	999	999	3	3	999	999	999	999	999	999	999	999	999	999	999	5	2	3	2	2	4	999	4	999	2	999	999	999	999	999	999	999	999	999	4
2012	110072	11	5	1	1	1	1	5	3	5	5	3	5	1	4	5	5	5	5	3	5	5	5	5	5	5	1	5	5	5	4	3	5	5	5	999	5	5	5	1	1	5	5	1	5	5	5	5	1	999	999	999	999	999	999	999	999	999	999	999	5	3	1	3	999	999	7	4	999	999	1	999	1	1	0	0	0	1	0	5
2011	110073	11	5	1	1	999	999	4	3	4	4	5	3	3	4	3	4	998	4	5	3	4	4	2	3	5	3	3	2	998	3	3	3	5	4	1	999	999	999	1	1	1	999	999	999	999	999	3	3	999	999	999	999	999	999	999	999	999	999	999	5	5	1	2	3	4	999	2	999	3	999	999	999	999	999	999	999	999	999	4
